Study_ID,Site_ID,Exp_ID,Study_Code,Study_title,Country,Site,Vector,Vector_subtype,Lat,Long,Method_screen,n_total,n_human,n_mammPet,n_mammFarmed,n_mammWild,n_birdDomest,n_birdWild,n_others,n_birdZoo,n_mammZoo,n_unidentified,...1.y,bio1_b10,bio12_b10,bio14_b10,bio15_b10,bio1_b20,bio12_b20,bio14_b20,bio15_b20,elevation,cropland_b10,water_b10,urban_b10,grassland_b10,treecover_b10,shrubland_b10,cropland_b20,water_b20,urban_b20,grassland_b20,treecover_b20,shrubland_b20,realm,NDVI.mean,NDVI.SD,glw3_buffalo_b10,glw3_cattle_b10,glw3_chicken_b10,glw3_duck_b10,glw3_horse_b10,glw3_goat_b10,glw3_pig_b10,glw3_sheep_b10,glw3_buffalo_b20,glw3_cattle_b20,glw3_chicken_b20,glw3_duck_b20,glw3_horse_b20,glw3_goat_b20,glw3_pig_b20,glw3_sheep_b20,gpw4_human_b10,gpw4_human_b20,glw3_sheep.goat_b10,glw3_cattle2_b10,glw3_ruminant_b10,glw3_poultry_b10,glw3_livestock_b10,glw3_sheep.goat_b20,glw3_cattle2_b20,glw3_ruminant_b20,glw3_poultry_b20,glw3_livestock_b20,landcov_PC1,landcov_PC2,farmed_PC1,farmed_PC2
P_41,S_78,E_203,hernandez-colina_2021_blood-feeding_ecology_of,Blood‐feeding_ecology_of_mosquitoes_in_two_zoological_gardens_in_the_United_Kingdom,United Kingdom,Chester_Zoo,Cx. pipiens complex,Cx_pipiens_f_pipiens,53.191,-2.895,DNA,114,48,0,2,0,2,51,11,9,2,0,8,9.4,765,45,18,9.4,765,45,18,18,0.043263965,0,0.1573567,0.46184739,0.026834611,0,0.010827851,0,0.03938231,0.51306652,0.028919956,0.000228436,Palearctic,5770,2280,1.83123076,4921.770741,17291.57061,103.3060452,102.2846682,41.63756091,858.0897522,1694.661147,1.83123076,4921.770741,17291.57061,103.3060452,102.2846682,41.63756091,858.0897522,1694.661147,1104.970093,1104.970093,1736.298708,4923.601972,6659.90068,17394.87666,7620.2751,1736.298708,4923.601972,6659.90068,17394.87666,7620.2751,-0.43154834,-0.479069555,0.10790231,0.063387974
P_41,S_79,E_204,hernandez-colina_2021_blood-feeding_ecology_of,Blood‐feeding_ecology_of_mosquitoes_in_two_zoological_gardens_in_the_United_Kingdom,United Kingdom,Flamingo_Land,Cx. pipiens complex,Cx_pipiens_f_pipiens,54.204,-0.806,DNA,12,10,1,0,0,0,0,1,0,1,0,9,9,739,51,12,9,739,51,12,23,0.047195013,0,0.020480855,0.111665183,0.062154942,0,0.011817695,0,0.005128434,0.150775954,0.046423475,0,Palearctic,5214,2323,0.121438246,2807.518552,75741.82589,853.9001543,76.90826345,72.78041043,5927.288342,7340.669711,0.121438246,2807.518552,75741.82589,853.9001543,76.90826345,72.78041043,5927.288342,7340.669711,51.21101379,51.21101379,7413.450121,2807.63999,10221.09011,76595.72604,16225.28672,7413.450121,2807.63999,10221.09011,76595.72604,16225.28672,-0.252512341,-0.045500443,-0.047614936,0.404398106
P_101,S_8,E_218,wheeler_2021_mosquito_blood-feeding_patterns,"Mosquito blood-feeding patterns and nesting behavior of American crows, an amplifying host of West Nile virus",USA,Davis_22,Cx. pipiens complex,Cx_pipiens_sl,38.532,-121.759,DNA,25,1,0,0,0,0,24,0,0,0,0,10,15.9,477,1,89,15.9,477,1,89,16,0.006883456,0.000237361,0.092807975,0.001186803,0,0.005459293,0.001724138,5.95e-05,0.023246136,0.017003567,0.01254459,0.007431629,Nearctic,5056,1866,0,439.9274938,1156.891839,39.47925043,281.7337596,32.75048219,55.98989142,448.218799,0,439.9274938,1156.891839,39.47925043,281.7337596,32.75048219,55.98989142,448.218799,NA,NA,480.9692812,439.9274938,920.896775,1196.371089,1258.620426,480.9692812,439.9274938,920.896775,1196.371089,1258.620426,-0.207151195,-0.16211276,0.057458296,-0.331726686
P_101,S_7,E_205,wheeler_2021_mosquito_blood-feeding_patterns,"Mosquito blood-feeding patterns and nesting behavior of American crows, an amplifying host of West Nile virus",USA,Davis_18,Cx. pipiens complex,Cx_pipiens_sl,38.53,-121.779,DNA,10,0,0,0,0,0,10,0,0,0,0,11,15.9,477,1,89,15.9,477,1,89,16,0.004750594,0,0.101900238,0.001425178,0,0.004275534,0.00118786,0,0.025479599,0.031715864,0.012294352,0.007780483,Nearctic,5070,1862,0,439.9274938,1156.891839,39.47925043,281.7337596,32.75048219,55.98989142,448.218799,0,439.9274938,1156.891839,39.47925043,281.7337596,32.75048219,55.98989142,448.218799,NA,NA,480.9692812,439.9274938,920.896775,1196.371089,1258.620426,480.9692812,439.9274938,920.896775,1196.371089,1258.620426,-0.206530357,-0.170961133,0.057458296,-0.331726686
P_2,S_60,E_183,apperson_2002_host-feeding_habits_of,"Host-Feeding_Habits_ofCulexand_Other_Mosquitoes(Diptera:_Culicidae)_in_the_Borough_of_Queens_in_New_York_City,_withCharacters_and_Techniques_for_Identification_ofCulexMosquitoes",USA,"Borough_of_Queens,_New_York_City",Cx. pipiens complex,Cx_pipiens_sl,40.762,-73.903,PCR-HDA,32,0,0,0,0,0,32,0,0,0,0,12,12,1126,77,9,12,1126,77,9,10,0.000690449,0.149597238,0.786421174,0.001380898,0.002531646,0.019332566,0.000172741,0.037427305,0.196752462,0.011458513,0.010076582,0.020959291,Nearctic,1584,2651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388.591797,6388.591797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437590147,-0.694158155,1.00949243611609e-17,1.89175066220564e-18
P_45,S_84,E_211,jansen_2009_blood_sources_of,Blood_Sources_of_Mosquitoes_Collected_from_Urban_and_Peri-Urban_Environments_in_Eastern_Australia_with_Species-Specific_Molecular_Analysis_of_Avian_Blood_Meals,Australia,Cairns,Ae. aegypti,NA,-16.919,145.778,ELISA&DNA,167,131,25,0,1,0,10,0,0,0,0,13,24.1,2384,41,85,24.1,2384,41,85,7,0.060220035,0.250723798,0.187898089,0,0.359583092,0.00984366,0.015059369,0.062699102,0.046988126,0,0.434694469,0.006805676,Australian,5040,4101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875.6426392,875.6426392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18698416,0.566871134,1.00949243611609e-17,1.89175066220564e-18
P_45,S_84,E_212,jansen_2009_blood_sources_of,Blood_Sources_of_Mosquitoes_Collected_from_Urban_and_Peri-Urban_Environments_in_Eastern_Australia_with_Species-Specific_Molecular_Analysis_of_Avian_Blood_Meals,Australia,Cairns,Cx. pipiens complex,Cx_quinquefasciatus,-16.919,145.778,ELISA&DNA,148,4,2,0,0,0,142,0,0,0,1,13,24.1,2384,41,85,24.1,2384,41,85,7,0.060220035,0.250723798,0.187898089,0,0.359583092,0.00984366,0.015059369,0.062699102,0.046988126,0,0.434694469,0.006805676,Australian,5040,4101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875.6426392,875.6426392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18698416,0.566871134,1.00949243611609e-17,1.89175066220564e-18
P_45,S_85,E_213,jansen_2009_blood_sources_of,Blood_Sources_of_Mosquitoes_Collected_from_Urban_and_Peri-Urban_Environments_in_Eastern_Australia_with_Species-Specific_Molecular_Analysis_of_Avian_Blood_Meals,Australia,Sydney,Cx. pipiens complex,Cx_quinquefasciatus,-33.869,151.209,ELISA&DNA,22,2,6,1,0,0,13,0,0,0,1,14,17.6,1244,59,25,17.6,1244,59,25,32,0.002014606,0.256862251,0.707882146,0,0.023923445,0.000503651,0.000504032,0.064264113,0.177104335,0,0.083732359,0.002646169,Australian,1824,3695,1.86e-06,4822.63747,0,29.24576255,244.8981678,0,0,950.6490455,1.86e-06,4822.63747,0,29.24576255,244.8981678,0,0,950.6490455,2407.905273,2407.905273,950.6490455,4822.637472,5773.286517,29.24576255,6018.184685,950.6490455,4822.637472,5773.286517,29.24576255,6018.184685,0.635056019,-0.413825602,0.14173615,-0.092784847
P_35,S_70,E_195,greenberg_2012_analysis_of_post-blood,Analysis_of_post-blood_meal_flight_distances_in_mosquitoes_utilizing_zoo_animal_blood_meals,USA,"Rio_Grande_Zoo,_Albuquerque",Cx. pipiens complex,Cx_quinquefasciatus,35.131,-106.683,DNA,43,0,2,0,3,4,29,5,0,5,0,15,12.8,241,12,50,12.8,241,12,50,1538,0.015896672,0.010432191,0.516890214,0.015399901,0.026577248,0.363636364,0.003972688,0.002607076,0.129174426,0.054003724,0.020111732,0.601303538,Nearctic,1942,885,0,229.3857917,166.5157611,2.390427887,209.7414142,34.86323688,35.01834708,12.53249969,0,229.3857917,166.5157611,2.390427887,209.7414142,34.86323688,35.01834708,12.53249969,513.5202637,513.5202637,47.39573657,229.3857917,276.7815283,168.906189,521.5412896,47.39573657,229.3857917,276.7815283,168.906189,521.5412896,-0.15855297,-0.751606911,0.047028898,-0.323899952
P_20,S_46,E_163,egizi_2013_rapid_blood_meal,Rapid blood meal scoring in anthropophilic Aedes albopictus and application of PCR blocking to avoid pseudogenes,USA,Monmouth_County,Ae. albopictus,NA,40.543,-74.1838,DNA,85,55,20,0,10,0,0,0,0,0,0,16,11.6,1189,79,11,11.6,1189,79,11,16,0.001154201,0.420129271,0.433056325,0.009464451,0.022160665,0.003231764,0.000288784,0.105117246,0.108351623,0.012417697,0.049555273,0.002772323,Nearctic,1152,3846,0,12.80943361,26.56728897,81.39217327,29.45399201,6.580471309,4.639218172,3.074778599,0,12.80943361,26.56728897,81.39217327,29.45399201,6.580471309,4.639218172,3.074778599,3362.991211,3362.991211,9.655249908,12.80943361,22.46468352,107.9594622,56.5578937,9.655249908,12.80943361,22.46468352,107.9594622,56.5578937,0.809132082,-0.118326569,0.041363859,-0.23102518
P_89,S_168,E_99,roiz_2012_blood_meal_analysis,"Blood_meal_analysis,_flavivirus_screening,_and_influence_of_meteorological_variables_on_the_dynamics_of_potential_mosquito_vectors_of_West_Nile_virus_in_northern_Italy",Italy,Trento_province,Cx. pipiens complex,Cx_pipiens_sl,45.9015,10.8645,DNA,45,0,0,0,0,0,45,0,0,0,0,17,10,824,40,26,10,824,40,26,101,0.102243861,0.075783235,0.033657917,0.035351397,0.442421677,0,0.025592116,0.018968897,0.008424734,0.067238913,0.406665607,0.000105971,Palearctic,5424,2723,7.247219577,204.5262164,48.27494499,232.7740637,117.5547179,48.59961838,230.6817823,62.84963568,7.247219577,204.5262164,48.27494499,232.7740637,117.5547179,48.59961838,230.6817823,62.84963568,973.2365723,973.2365723,111.4492541,211.773436,323.22269,281.0490087,671.4591902,111.4492541,211.773436,323.22269,281.0490087,671.4591902,-0.253140154,0.537262908,0.039982777,-0.265561745
P_25,S_51,E_170,faraji_2014_comparative_host_feeding,"Comparative_Host_Feeding_Patterns_of_the_Asian_Tiger_Mosquito,_Aedes_albopictus,_in_Urban_and_Suburban_Northeastern_USA_and_Implications_for_Disease_Transmission",USA,"Mercer_County,_New_Jersey",Ae. albopictus,NA,40.217,-74.733,DNA,90,41,42,0,7,0,0,0,0,0,0,18,11.5,1142,74,14,11.5,1142,74,14,19,0.004414498,0.060873606,0.490009294,0.077369888,0.200046468,0.000697026,0.001102536,0.015203389,0.122381477,0.128706551,0.369175419,0.000406197,Nearctic,5213,2030,0,43.86911826,178.5886782,34.67376912,119.2353879,11.80492273,80.37315869,54.86795807,0,43.86911826,178.5886782,34.67376912,119.2353879,11.80492273,80.37315869,54.86795807,6289.586914,6289.586914,66.6728808,43.86911826,110.5419991,213.2624473,310.1505457,66.6728808,43.86911826,110.5419991,213.2624473,310.1505457,-0.180001273,-0.288948646,0.041803621,-0.278475906
P_25,S_52,E_172,faraji_2014_comparative_host_feeding,"Comparative_Host_Feeding_Patterns_of_the_Asian_Tiger_Mosquito,_Aedes_albopictus,_in_Urban_and_Suburban_Northeastern_USA_and_Implications_for_Disease_Transmission",USA,"Monmouth_County,_New_Jersey",Ae. albopictus,NA,40.733,-74.283,DNA,84,55,20,0,9,0,0,0,0,0,0,19,11.1,1224,80,10,11.1,1224,80,10,73,0.000230627,0.008071956,0.625461255,0.045664207,0.17297048,0.003920664,5.76e-05,0.002015665,0.156185211,0.044402211,0.15883437,0.005355909,Nearctic,4183,2752,0,130.5440379,855.9557196,66.22288578,528.4467001,32.60821515,60.25378245,35.95202355,0,130.5440379,855.9557196,66.22288578,528.4467001,32.60821515,60.25378245,35.95202355,1342.4729,1342.4729,68.5602387,130.5440379,199.1042766,922.1786054,787.8047592,68.5602387,130.5440379,199.1042766,922.1786054,787.8047592,0.008949653,-0.378695158,0.044129993,-0.514968572
P_57,S_108,E_10,kim_2017_host-feeding_pattern_and,Host-feeding_pattern_and_dengue_virus_detection_of_Aedes_albopictus(Diptera:Culicidae)_captured_in_an_urban_park_in_Korea,South_Korea,Seoul,Ae. albopictus,NA,37.871,127.644,DNA,90,55,5,0,4,0,23,3,0,0,0,20,9.3,1403,22,96,9.3,1403,22,96,263,0.041956365,0.063533925,0.047950132,0.002877008,0.540637737,0.01462479,0.01049979,0.015899682,0.01199976,0.001799964,0.625787484,0.007259855,Palearctic,4975,2539,0,2325.270062,75289.95823,3046.817634,24.42400825,1.953378788,4734.959995,0,0,2325.270062,75289.95823,3046.817634,24.42400825,1.953378788,4734.959995,0,256.8307495,256.8307495,1.953378788,2325.270062,2327.223441,78336.77586,7086.607444,1.953378788,2325.270062,2327.223441,78336.77586,7086.607444,-0.239101017,0.587062219,-0.215117162,-0.015778379
P_57,S_108,E_11,kim_2017_host-feeding_pattern_and,Host-feeding_pattern_and_dengue_virus_detection_of_Aedes_albopictus(Diptera:Culicidae)_captured_in_an_urban_park_in_Korea,South_Korea,Seoul,Cx. pipiens complex,Cx_pipiens_sl,37.871,127.644,DNA,294,8,19,1,2,0,257,7,0,0,0,20,9.3,1403,22,96,9.3,1403,22,96,263,0.041956365,0.063533925,0.047950132,0.002877008,0.540637737,0.01462479,0.01049979,0.015899682,0.01199976,0.001799964,0.625787484,0.007259855,Palearctic,4975,2539,0,2325.270062,75289.95823,3046.817634,24.42400825,1.953378788,4734.959995,0,0,2325.270062,75289.95823,3046.817634,24.42400825,1.953378788,4734.959995,0,256.8307495,256.8307495,1.953378788,2325.270062,2327.223441,78336.77586,7086.607444,1.953378788,2325.270062,2327.223441,78336.77586,7086.607444,-0.239101017,0.587062219,-0.215117162,-0.015778379
P_57,S_107,E_9,kim_2017_host-feeding_pattern_and,Host-feeding_pattern_and_dengue_virus_detection_ofAedes_albopictus(Diptera:Culicidae)_captured_in_an_urban_park_in_Korea,South_Korea,Seoul,Ae. albopictus,NA,35.553,127.634,DNA,58,56,0,0,0,0,2,0,0,0,0,21,10,1466,32,76,10,1466,32,76,500,0.108114795,0.00321623,0.001237011,0.000742207,0.412172192,0.006679861,0.026981971,0.000802667,0.000308718,0.000308718,0.376944925,0.010187701,Palearctic,5813,1990,0,3426.263062,57239.46172,13913.50647,2.915091752,145.1147265,4523.69632,1.47e-07,0,3426.263062,57239.46172,13913.50647,2.915091752,145.1147265,4523.69632,1.47e-07,52.21351624,52.21351624,145.1147266,3426.263062,3571.377789,71152.96819,8097.9892,145.1147266,3426.263062,3571.377789,71152.96819,8097.9892,-0.433535764,0.450551053,-0.291529366,0.095753878
P_66,S_119,E_25,martinez-de_2013_effect_of_blood,Effect_of_blood_meal_digestion_and_DNAextraction_protocol_on_the_success_of_blood_mealsource_determination_in_the_malaria_vectorAnopheles_atroparvus,Spain,Seville,Cx. pipiens complex,Cx_pipiens_sl,36.95,-6.233,DNA,24,0,7,0,0,8,9,0,0,0,0,22,17.8,558,1,65,17.8,558,1,65,1,0.299074525,0.321237214,0.000487092,0.000730638,0.026302971,0,0.074473892,0.079992722,0.000121293,0.000788404,0.033780096,0.000909697,Palearctic,1596,2257,0,161.7959574,0,2.954627269,36.9161515,431.653417,102.8339926,0.000805928,0,161.7959574,0,2.954627269,36.9161515,431.653417,102.8339926,0.000805928,35.69735336,35.69735336,431.6542229,161.7959574,593.4501803,2.954627269,733.2003244,431.6542229,161.7959574,593.4501803,2.954627269,733.2003244,0.287880896,0.165081232,0.063877652,-0.173454623
P_68,S_121,E_28,martinez-de_2015_avian_malaria_parasites,Avian malaria parasites in the last supper: identifying encounters between parasites and the invasive Asian mosquito tiger and native mosquito species in Italy_identifying_encounters_between_parasites_and_the_invasive_Asian_mosquito_tiger_and_native_mosquito_species_in_Italy,Italy,Trento,Ae. albopictus,NA,45.795,11.695,DNA,34,31,0,0,1,0,2,0,0,0,0,23,12.4,954,61,16,12.4,954,61,16,693,0.197281801,0,0.132299851,0.011467403,0.459120832,0,0.049296896,0,0.033059167,0.052056248,0.311700716,0,Palearctic,5865,2176,6.64e-05,1303.761037,515.3856195,252.5429624,126.6029729,7.378145398,59.0196883,31.60933451,6.64e-05,1303.761037,515.3856195,252.5429624,126.6029729,7.378145398,59.0196883,31.60933451,7.688538074,7.688538074,38.98747991,1303.761103,1342.748583,767.9285819,1528.371245,38.98747991,1303.761103,1342.748583,767.9285819,1528.371245,-0.450846948,0.446283298,0.058874783,-0.228014349
