"","Study_ID","Site_ID","Exp_ID","Study_Code","Study_title","Country","Site","Vector","Vector_subtype","Lat","Long","Method_screen","Indoors_Outside","n_total","n_human","n_mammPet","n_mammFarmed","n_mammWild","n_birdDomest","n_birdWild","n_others","n_birdZoo","n_mammZoo","n_unidentified","bio1_b10","bio12_b10","bio14_b10","bio15_b10","bio1_b20","bio12_b20","bio14_b20","bio15_b20","elevation","cropland_b10","water_b10","urban_b10","grassland_b10","treecover_b10","shrubland_b10","cropland_b20","water_b20","urban_b20","grassland_b20","treecover_b20","shrubland_b20","realm","NDVI.mean","NDVI.SD","glw3_buffalo_b10","glw3_cattle_b10","glw3_chicken_b10","glw3_duck_b10","glw3_horse_b10","glw3_goat_b10","glw3_pig_b10","glw3_sheep_b10","glw3_buffalo_b20","glw3_cattle_b20","glw3_chicken_b20","glw3_duck_b20","glw3_horse_b20","glw3_goat_b20","glw3_pig_b20","glw3_sheep_b20","glw3_sheep.goat_b10","glw3_cattle2_b10","glw3_ruminant_b10","glw3_poultry_b10","glw3_livestock_b10","glw3_sheep.goat_b20","glw3_cattle2_b20","glw3_ruminant_b20","glw3_poultry_b20","glw3_livestock_b20","gpw4_human_b10","gpw4_human_b20","landcov_PC1","landcov_PC2","farmed_PC1","farmed_PC2"
"11","P_1","S_14","E_14","hernandez-colina_2021_blood-feeding_ecology_of","Blood‐feeding_ecology_of_mosquitoes_in_two_zoological_gardens_in_the_United_Kingdom","United Kingdom","Chester_Zoo","Cx. pipiens complex","Cx_pipiens_f_pipiens",53.191,-2.895,"DNA","Outside",114,48,0,2,0,2,51,11,9,2,0,9.4,765,45,18,9.4,765,45,18,18,0.0432639649507119,0,0.157356699525374,0.461847389558233,0.0268346111719606,0,0.010827850877193,0,0.0393823099415205,0.513066520467836,0.0289199561403509,0.00022843567251462,"Palearctic",5770,2280,1.83123075967781,4921.77074119256,17291.5706124731,103.306045193375,102.284668214188,41.6375609105818,858.089752173503,1694.66114668925,1.83123075967781,4921.77074119256,17291.5706124731,103.306045193375,102.284668214188,41.6375609105818,858.089752173503,1694.66114668925,1736.29870759983,4923.60197195224,6659.90067955207,17394.8766576665,7620.27509993976,1736.29870759983,4923.60197195224,6659.90067955207,17394.8766576665,7620.27509993976,1104.97009277344,1104.97009277344,0.386748932598405,0.563353994472876,0.0869257670548164,-0.0429772438222519
"12","P_1","S_15","E_15","hernandez-colina_2021_blood-feeding_ecology_of","Blood‐feeding_ecology_of_mosquitoes_in_two_zoological_gardens_in_the_United_Kingdom","United Kingdom","Flamingo_Land","Cx. pipiens complex","Cx_pipiens_f_pipiens",54.204,-0.806,"DNA","Outside",12,10,1,0,0,0,0,1,0,1,0,9,739,51,12,9,739,51,12,23,0.0471950133570792,0,0.0204808548530721,0.11166518254675,0.0621549421193232,0,0.011817695326436,0,0.00512843382090617,0.150775954334641,0.0464234748483767,0,"Palearctic",5214,2323,0.121438246493803,2807.5185516304,75741.8258924472,853.90015426824,76.9082634531447,72.7804104325739,5927.28834238934,7340.66971050735,0.121438246493803,2807.5185516304,75741.8258924472,853.90015426824,76.9082634531447,72.7804104325739,5927.28834238934,7340.66971050735,7413.45012093993,2807.63998987689,10221.0901108168,76595.7260467154,16225.2867166593,7413.45012093993,2807.63998987689,10221.0901108168,76595.7260467154,16225.2867166593,51.2110137939453,51.2110137939453,0.220787315515251,0.0771785900803236,0.108027364899547,0.286656315744614
"13","P_1","S_17","E_17","hartman_2019_entomological_risk_factors","Entomological risk factors for potential transmission of Rift Valley fever virus around concentrations of livestock in Colorado","USA","Fort Collins, Ault, Greeley, and Wellington","Cx. pipiens complex","Cx_pipiens_sl",40.5745,-104.879,"DNA","Outside",7,0,0,5,1,0,1,0,0,0,0,9.1,359,8,57,9.1,359,8,57,1531,0.0156971375807941,0.0193905817174515,0.00461680517082179,0.126038781163435,0.0427054478301016,0.00346260387811634,0.00392428439519852,0.00484764542936288,0.00115420129270545,0.166435826408126,0.0745036934441367,0.00923361034164358,"Nearctic",3487,2023,62.2235595935345,5207.25831642455,80223.1255340843,7.58290469550652,235.55839671341,54.9746701608657,146.300315461197,1247.20913256899,62.2235595935345,5207.25831642455,80223.1255340843,7.58290469550652,235.55839671341,54.9746701608657,146.300315461197,1247.20913256899,1302.18380272986,5269.48187601808,6571.66567874794,80230.7084387798,6953.52439092255,1302.18380272986,5269.48187601808,6571.66567874794,80230.7084387798,6953.52439092255,8.59662342071533,8.59662342071533,0.0834623469531142,0.186147425075708,-0.0203669904080632,-0.0862348583215222
"14","P_1","S_18","E_18","martinez-de_2013_effect_of_blood","Effect_of_blood_meal_digestion_and_DNAextraction_protocol_on_the_success_of_blood_mealsource_determination_in_the_malaria_vectorAnopheles_atroparvus","Spain","Seville","Cx. pipiens complex","Cx_pipiens_sl",36.95,-6.233,"DNA","Outside",24,0,7,0,0,8,9,0,0,0,0,17.8,558,1,65,17.8,558,1,65,1,0.299074525085241,0.321237213833415,0.000487092060399416,0.000730638090599123,0.0263029712615684,0,0.074473891685366,0.0799927224210079,0.000121292983200922,0.000788404390805992,0.0337800958214567,0.000909697374006914,"Palearctic",1596,2257,0,161.795957378603,0,2.95462726918461,36.9161515017484,431.653417020533,102.833992623716,0.000805928174091551,0,161.795957378603,0,2.95462726918461,36.9161515017484,431.653417020533,102.833992623716,0.000805928174091551,431.654222948707,161.795957378603,593.45018032731,2.95462726918461,733.200324452774,431.654222948707,161.795957378603,593.45018032731,2.95462726918461,733.200324452774,35.6973533630371,35.6973533630371,-0.323453423782281,-0.134251048783239,-0.0389885227079271,-0.194059506815579
"15","P_1","S_19","E_19","martinez-de_2015_avian_malaria_parasites","Avian malaria parasites in the last supper: identifying encounters between parasites and the invasive Asian mosquito tiger and native mosquito species in Italy_identifying_encounters_between_parasites_and_the_invasive_Asian_mosquito_tiger_and_native_mosquito_species_in_Italy","Italy","Trento","Cx. pipiens complex","Cx_pipiens_sl",45.795,11.695,"DNA","Outside",217,14,14,9,2,26,147,5,0,0,0,12.4,954,61,16,12.4,954,61,16,693,0.197281800806965,0,0.132299851348482,0.0114674028456148,0.459120832448503,0,0.0492968957283099,0,0.0330591668877686,0.0520562483417352,0.31170071637039,0,"Palearctic",5865,2176,6.6373743450959e-05,1303.7610371036,515.38561950775,252.542962353976,126.602972901823,7.37814539835481,59.0196882990374,31.6093345099716,6.6373743450959e-05,1303.7610371036,515.38561950775,252.542962353976,126.602972901823,7.37814539835481,59.0196882990374,31.6093345099716,38.9874799083264,1303.76110347734,1342.74858338567,767.928581861725,1528.37124458653,38.9874799083264,1303.76110347734,1342.74858338567,767.928581861725,1528.37124458653,7.68853807449341,7.68853807449341,0.393976676087204,-0.39344915133764,-0.0724071958109187,-0.245020231554766
"16","P_1","S_20","E_20","anderson_2018_seasonal_distribution_blood-feeding","Seasonal Distribution, Blood-Feeding Habits, and Viruses of Mosquitoes in an Open-Faced Quarry in Connecticut, 2010 and 2011","USA","Conneticut","Cx. pipiens complex","Cx_pipiens_sl",41.405,-72.792,"DNA","Outside",9,0,0,0,2,0,7,0,0,0,0,10,1206,88,7,10,1206,88,7,45,0.000684306569343066,0.0216697080291971,0.158074817518248,0.0807481751824818,0.515282846715328,0.000456204379562044,0.000171066887152877,0.00541711809317443,0.0395164509323145,0.0516051776244512,0.568227176826139,0.000171066887152877,"Nearctic",6104,2253,27.3425503586662,112.953926160893,81.5449391586159,5.76558882209994,249.657719012169,18.9510261442928,27.5908171435883,16.3085536844641,27.3425503586662,112.953926160893,81.5449391586159,5.76558882209994,249.657719012169,18.9510261442928,27.5908171435883,16.3085536844641,35.2595798287569,140.29647651956,175.556056348317,87.3105279807159,452.804592504074,35.2595798287569,140.29647651956,175.556056348317,87.3105279807159,452.804592504074,390.358917236328,390.358917236328,0.357466790929906,-0.336949845508526,-0.149067785583303,-0.358242228175649
"17","P_1","S_21","E_21","gonzalez_2020_avian_feeding_preferences","Avian Feeding Preferences of Culex pipiens and Culiseta spp. Along an Urban-to-Wild Gradient in Northern Spain","Spain","Vitoria-Gasteiz","Cx. pipiens complex","Cx_pipiens_sl",42.853,-2.683,"DNA","Outside",48,0,0,0,0,0,48,0,0,0,0,11.5,922,45,20,11.5,922,45,20,518,0.101161232693167,0.000669941938365342,0.0987047789191603,0.0839660562751228,0.184457347029924,0,0.0252381748286813,0.000167140230653518,0.024625327316285,0.132653629728676,0.308875146247702,0,"Palearctic",5091,1980,0,422.849832848518,829.232043556611,3.35989935771637,32.3929268053798,171.1331473122,672.971377589027,546.669535229121,0,422.849832848518,829.232043556611,3.35989935771637,32.3929268053798,171.1331473122,672.971377589027,546.669535229121,717.802682541321,422.849832848518,1140.65251538984,832.591942914328,1846.01681978425,717.802682541321,422.849832848518,1140.65251538984,832.591942914328,1846.01681978425,858.450744628906,858.450744628906,0.28018545417053,0.0168410613693133,-0.042819485965865,-0.173988007824403
"18","P_1","S_22","E_22","apperson_2002_host-feeding_habits_of","Host-Feeding_Habits_ofCulexand_Other_Mosquitoes(Diptera:_Culicidae)_in_the_Borough_of_Queens_in_New_York_City,_withCharacters_and_Techniques_for_Identification_ofCulexMosquitoes","USA","Borough_of_Queens,_New_York_City","Cx. pipiens complex","Cx_pipiens_sl",40.762,-73.903,"PCR-HDA","Outside",32,0,0,0,0,0,32,0,0,0,0,12,1126,77,9,12,1126,77,9,10,0.000690448791714615,0.149597238204833,0.786421173762946,0.00138089758342923,0.00253164556962025,0.0193325661680092,0.000172741406115046,0.0374273046582599,0.196752461565037,0.011458513272298,0.0100765820233777,0.0209592906086256,"Nearctic",1584,2651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388.591796875,6388.591796875,-0.486241794306983,0.69367653069282,1.74920384962388e-19,3.42406239645597e-18
"19","P_1","S_23","E_23","brugman_2017_blood-feeding_patterns_of","Blood-feeding patterns of native mosquitoes and insights into their potential role as pathogen vectors in the Thames estuary region of the United Kingdom","United Kingdom","Elmley National Nature Reserve, Isle of Sheppey","Cx. pipiens complex","Cx_pipiens_f_pipiens",51.377,0.784,"DNA","Both_In_&_Out",180,0,0,0,0,1,179,0,0,0,0,10.2,600,36,16,10.2,600,36,16,3,0.0414685181662545,0.228647517595587,0.105193075898802,0.0612516644474035,0.0161689176336314,0,0.0103740363567146,0.0571999619301418,0.0263157894736842,0.0877510231274388,0.045493480536785,0,"Palearctic",3342,3911,0.219113480329539,253.595038660482,42624.2552320718,691.390988667107,108.393376169963,48.1364719712106,230.305287967547,2033.43307055771,0.219113480329539,253.595038660482,42624.2552320718,691.390988667107,108.393376169963,48.1364719712106,230.305287967547,2033.43307055771,2081.56954252892,253.814152140811,2335.38369466974,43315.6462207389,2674.08235880724,2081.56954252892,253.814152140811,2335.38369466974,43315.6462207389,2674.08235880724,7.05446004867554,7.05446004867554,-0.399420636880069,-0.108535463033687,-0.0622887123278694,-0.135280590373006
"20","P_1","S_24","E_24","Bakran-Lebl_2022_Diversity_of_West","Diversity of West Nile and Usutu virus strains in mosquitoes at an international airport in Austria","Austria","ViennaInternational Airpor","Cx. pipiens complex","Cx_pipiens_f_pipiens",48.111,16.569,"DNA","Outside",11,0,0,0,3,0,8,0,0,0,0,9.9,627,34,27,9.9,627,34,27,194,0.101874490627547,0.0287286063569682,0.128565607171964,0.00285248573757131,0.121638141809291,0,0.025414252312697,0.00716681915218054,0.0320727864186236,0.00213479719426654,0.108620514384467,0,"Palearctic",4319,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.111709594727,228.111709594727,0.0672356259066725,-0.0199110995500947,-0.0708907524229942,-0.213171361595841
"21","P_1","S_25","E_25","khalil_2021_host_associations_of","Host Associations of Culex pipiens: A Two-Year Analysis of Bloodmeal Sources and Implications for Arboviral Transmission in Southeastern Virginia","USA","Suffolk","Cx. pipiens complex","Cx_pipiens_sl",36.72819,-76.58319,"DNA",NA,269,0,7,0,6,0,255,1,0,0,0,14.9,1180,74,17,14.9,1180,74,17,15,0.0523879142300195,0.0311890838206628,0.0655458089668616,0.00584795321637427,0.195662768031189,0,0.0130818375418315,0.00778825676909036,0.0163675083662915,0.00559780955278369,0.208031639793124,0.00432004867660481,"Nearctic",6450,1661,0,46.0533282676882,14175.0121748196,6.29986200856571,252.154457999623,27.1582854448578,33.7211549218276,11.1371446466323,0,46.0533282676882,14175.0121748196,6.29986200856571,252.154457999623,27.1582854448578,33.7211549218276,11.1371446466323,38.2954300914901,46.0533282676882,84.3487583591783,14181.3120368282,370.224371280628,38.2954300914901,46.0533282676882,84.3487583591783,14181.3120368282,370.224371280628,1270.34411621094,1270.34411621094,0.380079811061579,-0.104981719500083,-0.160152748733706,-0.33567462129085
"22","P_1","S_26","E_26","kim_2017_host-feeding_pattern_and","Host-feeding_pattern_and_dengue_virus_detection_of_Aedes_albopictus(Diptera:Culicidae)_captured_in_an_urban_park_in_Korea","South_Korea","Seoul","Cx. pipiens complex","Cx_pipiens_sl",37.871,127.644,"DNA","Outside",294,8,19,1,2,0,257,7,0,0,0,9.3,1403,22,96,9.3,1403,22,96,263,0.0419563653800048,0.063533924718293,0.0479501318628626,0.00287700791177176,0.540637736753776,0.0146247902181731,0.0104997900041999,0.0158996820063599,0.0119997600047999,0.00179996400071999,0.625787484250315,0.00725985480290394,"Palearctic",4975,2539,0,2325.27006197094,75289.9582280273,3046.81763368996,24.4240082455073,1.95337878780829,4734.95999467747,0,0,2325.27006197094,75289.9582280273,3046.81763368996,24.4240082455073,1.95337878780829,4734.95999467747,0,1.95337878780829,2325.27006197094,2327.22344075875,78336.7758617173,7086.60744368173,1.95337878780829,2325.27006197094,2327.22344075875,78336.7758617173,7086.60744368173,256.830749511719,256.830749511719,0.198210858361877,-0.571112232557169,-0.186365558558455,0.0466306562780083
"23","P_1","S_27","E_27","komar_2018_focal_amplification_and","Focal amplification and suppression of West Nile virus transmission associated with communal bird roosts in northern Colorado","USA","Wellington","Cx. pipiens complex","Cx_pipiens_sl",40.702594,-105.003284,"DNA","Outside",65,0,0,1,0,2,62,0,0,0,0,8.5,366,10,54,8.5,366,10,54,1581,0.0368918607332257,0.0495734378602721,0.0064560756283145,0.341710860041503,0.131427253862117,0.00622550149873184,0.00921499740828198,0.0123826527673789,0.00161262454644935,0.394920232678685,0.0996947532108507,0.032713240799401,"Nearctic",3010,1587,0.375946283510258,1340.88356935119,276.615074210899,2.84608600010927,274.746751317582,20.26916502137,20.5387731576815,16.7645919681616,0.375946283510258,1340.88356935119,276.615074210899,2.84608600010927,274.746751317582,20.26916502137,20.5387731576815,16.7645919681616,37.0337569895316,1341.2595156347,1378.29327262423,279.461160211008,1673.5787970995,37.0337569895316,1341.2595156347,1378.29327262423,279.461160211008,1673.5787970995,1544.14001464844,1544.14001464844,0.195911837744065,0.348547303845642,-0.114439078366522,-0.33131340061728
"24","P_1","S_28","E_28","komar_2018_focal_amplification_and","Focal amplification and suppression of West Nile virus transmission associated with communal bird roosts in northern Colorado","USA","Loveland","Cx. pipiens complex","Cx_pipiens_sl",40.4166508,-105.0711679,"DNA","Outside",385,0,0,0,0,0,385,0,0,0,0,9.1,373,10,51,9.1,373,10,51,1515,0.116516099142923,0.0586055130877925,0.117442668519805,0.0991429233263841,0.186472087097521,0.0379893444521659,0.0291054276125448,0.0146395093160514,0.0293368823052887,0.0665432241638699,0.153338733942831,0.0847702812174517,"Nearctic",3145,1878,2.20259834867708,1092.81060390838,488.021591161289,3.38221744958116,421.39660525611,21.3651494788724,18.6209216556635,19.6639818755982,2.20259834867708,1092.81060390838,488.021591161289,3.38221744958116,421.39660525611,21.3651494788724,18.6209216556635,19.6639818755982,41.0291313544706,1095.01320225706,1136.04233361153,491.40380861087,1576.05986052331,41.0291313544706,1095.01320225706,1136.04233361153,491.40380861087,1576.05986052331,1628.61071777344,1628.61071777344,0.0958128849335395,0.0774895812684566,-0.168564886925251,-0.421535525890853
